date,time,code,name,currency,price,diff,per_diff
14/10/2019,09:15,LGEN,LEGAL&GEN.,GBX,254.60,-6.20,-2.38
14/10/2019,09:15,LLOY,LLOYDS GRP.,GBX,57.00,-2.13,-3.60
14/10/2019,09:15,LSE,LON.STK.EXCH,GBX,7312.00,+12.00,+0.16
14/10/2019,09:15,MGGT,MEGGITT,GBX,613.60,-5.00,-0.81
14/10/2019,09:15,MRO,MELROSE IND,GBX,199.15,-1.95,-0.97
14/10/2019,09:15,MNDI,MONDI,GBX,1574.50,-21.00,-1.32
14/10/2019,09:15,MRW,MORRISON (WM),GBX,200.40,-2.90,-1.43
14/10/2019,09:15,NG.,NATIONAL GRID,GBX,889.90,-1.70,-0.19
14/10/2019,09:15,NXT,NEXT,GBX,6408.00,-50.00,-0.77
14/10/2019,09:15,NMC,NMC HEALTH,GBX,2615.00,-93.00,-3.43
14/10/2019,09:15,OCDO,OCADO,GBX,1272.00,-50.00,-3.78
14/10/2019,09:15,PSON,PEARSON,GBX,689.60,-4.00,-0.58
14/10/2019,09:15,PSN,PERSIMMON,GBX,2236.00,-51.00,-2.23
14/10/2019,09:15,PHNX,PHOENIX GRP HDG,GBX,692.30,-12.20,-1.73
14/10/2019,09:15,POLY,POLYMETAL INT,GBX,1134.50,-8.00,-0.70
14/10/2019,09:15,PRU,PRUDENTIAL,GBX,1483.50,-25.00,-1.66
14/10/2019,09:15,RDSA,RDS 'A',GBX,2291.50,+1.00,+0.04
14/10/2019,09:15,RDSB,RDS 'B',GBX,2280.50,-1.50,-0.07
14/10/2019,09:15,RB.,RECKITT BEN. GP,GBX,6126.00,+31.00,+0.51
14/10/2019,09:15,REL,RELX,GBX,1846.00,+9.50,+0.52
14/10/2019,09:15,RTO,RENTOKIL INITL.,GBX,459.60,+4.90,+1.08
14/10/2019,09:15,RMV,RIGHTMOVE,GBX,553.00,-4.00,-0.72
14/10/2019,09:15,RIO,RIO TINTO,GBX,4144.00,-65.50,-1.56
14/10/2019,09:15,RR.,ROLLS-ROYCE HLG,GBX,746.40,+3.20,+0.43
14/10/2019,09:15,RBS,ROYAL BANK SCOT,GBX,211.40,-6.90,-3.16
14/10/2019,09:15,RSA,RSA INS.,GBX,514.80,-9.40,-1.79
14/10/2019,09:15,SGE,SAGE GRP.,GBX,705.60,+12.60,+1.82
14/10/2019,09:15,SBRY,SAINSBURY(J),GBX,209.80,-4.80,-2.24
14/10/2019,09:15,SDR,SCHRODERS,GBX,2908.00,-61.00,-2.06
14/10/2019,09:15,SMT,SCOTTISH MORT,GBX,497.20,-2.80,-0.56
14/10/2019,09:15,SGRO,SEGRO,GBX,811.60,-10.60,-1.29
14/10/2019,09:15,SVT,SEVERN TRENT,GBX,2180.00,-35.00,-1.58
14/10/2019,09:15,SN.,SMITH&NEPHEW,GBX,1865.00,+5.00,+0.27
14/10/2019,09:15,SMDS,SMITH(DS),GBX,339.50,-5.50,-1.59
14/10/2019,09:15,SMIN,SMITHS GROUP,GBX,1568.50,-9.00,-0.57
14/10/2019,09:15,SKG,SMURFIT KAP.,GBX,2488.00,-42.00,-1.66
14/10/2019,09:15,SPX,SPIRAX-SARCO,GBX,7540.00,-25.00,-0.33
14/10/2019,09:15,SSE,SSE,GBX,1283.50,-25.50,-1.95
14/10/2019,09:15,STJ,ST.JAMES'S PLAC,GBX,987.00,-17.50,-1.74
14/10/2019,09:15,STAN,STAND.CHART.,GBX,647.60,-7.80,-1.19
14/10/2019,09:15,SLA,STD LIFE ABER,GBX,281.20,-4.80,-1.68
14/10/2019,09:15,TW.,TAYLOR WIMPEY,GBX,160.05,-3.70,-2.26
14/10/2019,09:15,TSCO,TESCO,GBX,237.60,-4.60,-1.90
14/10/2019,09:15,TUI,TUI AG,GBX,987.20,-17.80,-1.77
14/10/2019,09:15,ULVR,UNILEVER,GBX,4667.00,+20.00,+0.43
14/10/2019,09:15,UU.,UTD. UTILITIES,GBX,827.40,-16.40,-1.94
14/10/2019,09:15,VOD,VODAFONE GRP.,GBX,162.66,+1.36,+0.84
14/10/2019,09:15,WTB,WHITBREAD,GBX,4186.00,-9.00,-0.21
